,TEXT,#-TAG,SCREEN_NAME
2,"RT @56perumal: With the reservation for Savarna castes, PM Modi has changed the game https://t.co/36wIKGZbrq #2019Elections #PMModi #Reserv…",2019Elections,Sandeepkasharma
4,RT @Vedprakash44gm1: हम सभी #BEDTET2011बेरोजगार शपथ लें कि अगर @BJP4India @BJP4UP और उत्तर प्रदेश की @myogiadityanath सरकार को सद्बुद्धि न…,2019Elections,samajwadiparty
8,"RT @Sanjeev52621579: उत्तर प्रदेश के उच्च प्राथिमक विधालय में कार्यरत 31000 अनुदेशक शिक्षक, उनका परिवार व उनके सभी रिस्तेदारो का वोट व समर्…",2019Elections,Vedprakash44gm1
10,"RT @sarvesh11666804: #बीएडटेट2011 का निस्तारण कब?
कब से पूछ रहें हैं?
45 दिन आज 4माह बाद भी पूरे नही हुए।
कैसा गुड गवर्नेंस है आपका।
कोई तो…",2019Elections,BJP4UP
15,RT @AnisPFI: BJP is asking employed youths to take sabbatical and work for BJP's 2019 campaign..the bhakts should respond to it cos if peop…,2019Elections,myogiadityanath
19,RT @HKBAJAJ07: उoप्राoविद्यालय मे कार्यरत 31000 अनुदेशको के साथ भी धोखा हुआ हमे सिर्फ जुमला मिला लेकिन हम शिक्षित लोग है जानते है कि युवाओं…,2019Elections,timidakolo
20,"RT @Ram54102012: बीएड टीईटी २०११ को न्याय दे ! #भाजपा सरकार , सुप्रीम कोर्ट से पारित आदेशो का पालन करके न्याय का भरोसा #Bjp4up के शीर्ष ने…",2019Elections,Sanjeev52621579
30,"RT @InOtherNews247: #InOtherNews #2019Elections 

Students: 22,320,990 (26.57%)
Farmers/Fisherman: 16,630,216 (16.23%)
Housewives: 11,844,0…",2019Elections,TwitterIndia
31,"RT @tostvnetwork: 2019: Atiku, Useni will win, says Jang
.
https://t.co/oxjzJTo7ef
.
#tostvnetwork #headlines #politics #2019Elections #the…",2019Elections,yadavakhilesh
32,RT @TonySahajlain: POLL | Will you vote for @BJP4India in #2019Elections if the promise of construction of #RamMandir is not fulfilled befo…,2019Elections,HKBAJAJ07
35,"केवल किसान,केवल किसान? बाकी अवाम को कब कैसे देंगे राहत ये कोई नहीं कहता करता बात?
#CongressKisanRally… https://t.co/iK4c3PyLhC",2019Elections,Ram54102012
36,"2019: Atiku, Useni will win, says Jang
.
https://t.co/oxjzJTo7ef
.
#tostvnetwork #headlines #politics… https://t.co/sAj4YLN4He",2019Elections,shashi_2001
38,"BB, the generals, and everybody else - Everything u need to know about the current state of play in #2019Elections… https://t.co/9ggDHdvPoH",2019Elections,timidakolo
42,"राहुल गांधी आये पर कितने किसानों का कर्जा माफ़,कितने बेरोजगारों को रोजगार भत्ता मिला इसका कोई जिक्र नहीं?… https://t.co/WBbx4hyEH6",2019Elections,InOtherNews247
