,FastFood,Type,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Have I Ate It,Rating
0,McDonald's,Egg McMuffin,139,300,12,5,No,n/a
1,McDonald's,Sausage McMuffin,114,370,22,8,Yes,Good
2,McDonald's,Sausage McMuffin (egg),164,450,27,10,No,n/a
3,McDonald's,"Bacon, Egg & Cheese Biscuit (regular)",144,450,25,11,No,n/a
4,McDonald's,"Sausage Biscuit (egg, regular)",159,500,32,12,Yes,OK
5,Burger King,Croissan'wich Egg & Cheese,115,300,17,6,No,n/a
6,Burger King,Croissan'wich Sausage & Cheese,106,370,25,9,No,n/a
7,Burger King,"Croissan'wich Sausage, Egg & Cheese",159,470,32,11,No,n/a
8,Burger King,"Croissan'wich Ham, Egg & Cheese",149,340,18,6,No,n/a
9,Burger King,"Croissan'wich Bacon, Egg & Cheese",122,340,20,7,No,n/a
10,Hardee's,Egg Biscuit,152,450,51,20,No,n/a
11,Hardee's,Bacon Biscuit,120,430,28,7,Yes,Very Good
12,Hardee's,Sausage Biscuit,142,530,38,10,Yes,Very Good
13,Hardee's,Country Ham Biscuit,144,440,26,6,No,n/a
14,Hardee's,Breaded Chicken Fillet Biscuit,226,600,34,7,Yes,OK
15,Arby's,Bacon & Egg Croissant,120,337,22,10,No,n/a
16,Arby's,Bacon Biscuit,95,340,21,6,Yes,Good
17,Arby's,"Bacon, Egg & Cheese Biscuit",158,461,28,8,No,n/a
18,Arby's,"Bacon, Egg & Cheese Croissant",133,378,22,10,No,n/a
19,Arby's,"Bacon, Egg & Cheese Sourdough",173,437,16,5,No,n/a
20,Jack In The Box,"Bacon, Egg & Cheese Biscuit",149,430,25,8,No,n/a
21,Jack In The Box,Bacon Breakfast Jack,113,300,14,5,Yes,Bad
22,Jack In The Box,Breakfast Jack,125,290,12,5,Yes,Very Bad
23,Jack In The Box,Chicken Biscuit,154,450,24,6,Yes,OK
24,Jack In The Box,Ciabatta Breakfast Sandwich,278,710,36,10,Yes,OK
25,Sonic,"Bacon, Egg & Cheese Bistro",162,510,30,10,No,n/a
26,Sonic,"Ham, Egg & Cheese Bistro",181,460,24,7,No,n/a
27,Sonic,"Sausage, Egg & Cheese Bistro",189,590,40,13,No,n/a
28,Sonic,"Sausage, Egg & Cheese Toaster",194,620,42,13,No,n/a
29,Sonic,"Bacon, Egg & Cheese Toaster",167,530,32,10,No,n/a
30,Subway,Cheese Sandwich,167,400,17,7,No,n/a
31,Subway,Chipotle Steak & Cheese Sandwich,259,580,31,11,No,n/a
32,Subway,Double Bacon & Cheese Sandwich,185,500,25,11,No,n/a
33,Subway,Honey Mustard Ham & Cheese Sandwich,216,460,19,8,No,n/a
34,Subway,Western Sandwich (cheese),207,440,18,8,No,n/a
35,Carl's Jr.,Breakfast Burger,309,830,47,15,No,n/a
36,Carl's Jr.,Sourdough Breakfast Sandwich,193,460,21,9,No,n/a
37,Carl's Jr.,Sunrise Croissant,172,560,41,15,No,n/a
38,Carl's Jr.,Bacon & Egg Burrito,208,570,33,11,No,n/a
39,Carl's Jr.,Loaded Breakfast Burrito,328,820,51,16,No,n/a
40,Chick-Fil-A,Chicken Burrito,191,410,16,7,Yes,Very Good
41,Chick-Fil-A,Sausage Burrito,191,450,23,9,Yes,Very Good
42,Chick-Fil-A,"Chicken, Egg & Cheese (sunflower multi-grain bagel)",215,500,20,7,No,n/a
43,Chick-Fil-A,Hot Buttered Biscuit,79,270,12,3,Yes,Good
44,Chick-Fil-A,Chicken Biscuit,145,420,19,5,Yes,Good
